Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%
Ethan Bear,25,VAN,D,24,2,4,6,0,4,1,2,0,0,1,4,0,0,24,0,449,18:43,38,21,0,0,0
Nathan Beaulieu,30,ANA,D,21,0,3,3,-11,30,-0.2,0,0,0,0,3,0,0,10,11.3,276,13:09,36,28,0,0,48.8
Anthony Beauvillier,25,NYI,LW,33,8,8,16,3,8,1.6,8,0,0,1,8,0,0,71,0,506,15:20,12,27,0,0,23.5
Adam Beckman,21,MIN,LW,5,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,8,6.7,51,10:08,1,2,0,0,60
Pierre-Edouard Bellemare,37,TBL,LW,30,1,2,3,-3,13,-0.3,1,0,0,0,2,0,0,15,0,353,11:46,24,38,138,131,49.4
Kieffer Bellows,24,TOT,LW,13,0,0,0,-6,6,-0.5,0,0,0,0,0,0,0,19,0,150,11:30,5,31,2,7,37.5
Kieffer Bellows,24,PHI,LW,12,0,0,0,-5,6,-0.4,0,0,0,0,0,0,0,19,12.5,142,11:52,5,28,2,7,0
Kieffer Bellows,24,NYI,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,17.5,7,7:16,0,3,0,0,47.3
Emil Bemstrom,23,CBJ,C,7,2,2,4,0,2,0.4,2,0,0,0,1,1,0,16,17.3,90,12:54,1,5,1,2,52
Matthew Beniers,20,SEA,C,32,11,14,25,5,2,2.5,8,3,0,2,12,2,0,63,9.1,551,17:13,23,38,179,218,52.1
Jamie Benn,33,DAL,LW,36,14,20,34,11,16,4.2,7,7,0,1,12,8,0,81,6.4,545,15:08,15,43,237,156,40
Jordie Benn,35,TOR,D,8,1,1,2,2,10,0.5,1,0,0,1,1,0,0,11,3.8,132,16:27,23,23,0,0,24
Sam Bennett,26,FLA,C,35,7,16,23,-5,34,1.5,6,1,0,1,12,4,0,109,0,637,18:11,26,88,227,279,52.9
Matt Benning,28,SJS,D,36,1,13,14,-7,16,1.7,1,0,0,0,12,1,0,26,11,692,19:14,59,54,0,0,15.4
Simon Benoit,24,ANA,D,31,0,1,1,-13,39,-0.2,0,0,0,0,1,0,0,28,13.8,575,18:34,51,87,0,0,50
