Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%
Cameron York,22,PHI,D,8,1,4,5,5,0,1.1,1,0,0,0,3,0,1,4,25.0,148,18:33,10,8,0,0,
Pavel Zacha,25,BOS,C,33,3,17,20,5,6,1.5,2,1,0,1,14,2,1,55,5.5,520,15:46,7,26,36,63,36.4
Filip Zadina,23,DET,RW,9,0,0,0,-3,4,-0.3,0,0,0,0,0,0,0,12,0.0,126,13:57,5,9,0,2,0.0
Nikita Zadorov,27,CGY,D,35,4,3,7,10,39,2.4,4,0,0,0,2,1,0,60,6.7,689,19:40,39,86,0,0,
Nikita Zaitsev,31,OTT,D,18,0,3,3,-6,6,0.3,0,0,0,0,3,0,0,6,0.0,311,17:16,32,39,0,0,
Yegor Zamula,22,PHI,D,11,0,2,2,-1,0,0.3,0,0,0,0,2,0,0,6,0.0,151,13:45,8,6,0,0,
Jakub Zboril,25,BOS,D,13,1,0,1,-1,2,0.3,1,0,0,1,0,0,0,8,12.5,176,13:34,11,13,0,0,
Trevor Zegras,21,ANA,C,35,10,15,25,-13,32,1.8,8,2,0,1,9,6,0,76,13.2,692,19:46,11,24,98,152,39.2
Fabian Zetterlund,23,NJD,W,29,5,8,13,9,6,1.4,4,1,0,1,6,2,0,61,8.2,388,13:23,9,23,3,7,30.0
Mika Zibanejad,29,NYR,C,35,15,23,38,10,8,4.2,4,10,1,3,15,8,0,133,11.3,729,20:50,12,29,262,306,46.1
Radim Zohorna,26,CGY,F,5,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,41,8:12,0,3,14,12,53.8
Artem Zub,27,OTT,D,14,2,2,4,-1,10,1.0,2,0,0,0,2,0,0,15,13.3,308,22:01,16,52,0,0,
Mats Zuccarello,35,MIN,LW,33,15,22,37,-5,14,3.8,9,6,0,1,12,10,0,96,15.6,673,20:23,19,19,7,13,35.0
Jason Zucker,31,PIT,LW,29,6,15,21,6,12,2.0,6,0,0,1,9,6,0,69,8.7,448,15:27,9,85,2,8,20.0
